"","gender","PhoneService","OnlineSecurity","OnlineBackup","PaperlessBilling","Churn"
"250","1","1",NA,"1","1","0"
"251","0","1",NA,"1","1","0"
"252","0","1",NA,"0","0","1"
"253","1","0",NA,"1","0","1"
"254","1","1",NA,"1","0","0"
"255","1","1",NA,"0","1","0"
"256","0","0",NA,"1","1","0"
"257","0","1",NA,"1","0","0"
"258","1","1",NA,"1","0","0"
"259","0","1",NA,"0","1","1"
"260","0","0",NA,"0","1","0"
"261","1","0",NA,"0","1","1"
"262","1","1",NA,"1","1","1"
"263","1","1",NA,"1","1","0"
"264","0","0",NA,"1","1","0"
"265","0","1",NA,"1","0","0"
"266","0","1",NA,"1","0","0"
"267","1","1",NA,"0","0","0"
"268","0","1",NA,"1","1","0"
"269","1","1",NA,"0","0","1"
"270","0","1",NA,"0","1","0"
"271","0","1",NA,"0","1","1"
"272","1","1",NA,"1","1","0"
"273","1","0",NA,"0","0","1"
"274","1","1",NA,"1","0","0"
"275","1","1",NA,"0","0","1"
"276","1","1",NA,"1","1","1"
"277","0","1",NA,"1","1","1"
"278","1","1",NA,"1","1","0"
"279","1","0",NA,"0","1","0"
"280","0","1",NA,"1","0","0"
"281","0","1",NA,"1","0","0"
"282","0","1",NA,"1","0","0"
"283","0","1",NA,"0","0","0"
"284","0","1",NA,"0","0","0"
"285","1","1",NA,"0","0","1"
"286","0","1",NA,"0","1","0"
"287","0","1",NA,"0","1","0"
"288","1","1",NA,"0","0","1"
"289","1","1",NA,"1","1","1"
"290","1","1",NA,"0","1","1"
"291","1","1",NA,"0","1","1"
"292","1","1",NA,"1","0","0"
"293","1","1",NA,"1","0","0"
"294","0","1",NA,"0","1","0"
"295","0","1",NA,"0","0","0"
"296","1","1",NA,"0","0","0"
"297","0","1",NA,"0","0","0"
"298","1","1",NA,"0","1","0"
"299","1","1",NA,"0","1","0"
"300","0","1",NA,"0","1","1"
"301","1","1",NA,"0","1","0"
"302","0","1",NA,"0","1","1"
"303","1","1",NA,"0","1","0"
"304","0","0",NA,"1","0","0"
"305","1","1",NA,"1","1","0"
"306","1","1",NA,"0","0","0"
"307","1","1",NA,"0","1","1"
"308","1","1",NA,"0","0","0"
"309","1","1",NA,"1","0","0"
"310","1","1",NA,"0","1","0"
"311","0","1",NA,"0","1","0"
"312","0","1",NA,"0","1","0"
"313","0","1",NA,"1","0","0"
"314","0","1",NA,"0","1","0"
"315","1","1",NA,"0","1","1"
"316","1","1",NA,"1","0","0"
"317","1","1",NA,"0","1","0"
"318","0","1",NA,"1","0","1"
"319","1","1",NA,"0","1","1"
"320","1","1",NA,"0","1","0"
"321","0","1",NA,"1","0","1"
"322","0","0",NA,"1","1","0"
"323","1","1",NA,"0","1","0"
"324","0","1",NA,"0","0","0"
"325","1","0",NA,"1","1","0"
"326","0","1",NA,"1","1","0"
"327","0","1",NA,"0","1","0"
"328","0","1",NA,"0","1","1"
"329","0","0",NA,"0","1","0"
"330","0","1",NA,"0","1","0"
"331","0","1",NA,"0","1","0"
"332","0","1",NA,"0","1","0"
"333","1","1",NA,"1","1","0"
"334","0","1",NA,"0","1","1"
"335","0","1",NA,"0","0","1"
"336","1","1",NA,"1","1","1"
"337","0","1",NA,"1","1","1"
"338","0","1",NA,"1","1","0"
"339","0","1",NA,"1","1","0"
"340","1","1",NA,"1","1","1"
"341","0","1",NA,"1","0","0"
"342","0","1",NA,"1","0","0"
"343","0","1",NA,"1","1","0"
"344","1","1",NA,"0","0","0"
"345","0","1",NA,"0","1","0"
"346","0","1",NA,"0","1","0"
"347","0","1",NA,"0","1","1"
"348","0","1",NA,"0","0","0"
"349","0","0",NA,"0","1","0"
"350","0","1",NA,"1","0","0"
"351","1","1",NA,"0","1","0"
"352","1","1",NA,"0","0","0"
"353","0","1",NA,"0","1","0"
"354","1","1",NA,"1","1","1"
"355","0","0",NA,"0","1","1"
"356","0","1",NA,"0","1","1"
"357","0","1",NA,"0","1","0"
"358","1","1",NA,"1","1","0"
"359","1","0",NA,"0","0","1"
"360","1","1",NA,"0","0","0"
"361","1","1",NA,"0","0","0"
"362","0","1",NA,"1","1","0"
"363","1","1",NA,"0","0","0"
"364","0","1",NA,"0","1","0"
"365","1","1",NA,"0","1","0"
"366","1","1",NA,"0","0","1"
"367","1","1",NA,"0","1","0"
"368","0","1",NA,"0","0","0"
"369","1","1",NA,"0","1","0"
"370","1","1",NA,"1","1","0"
"371","1","1",NA,"0","0","0"
"372","1","1",NA,"0","1","1"
"373","1","0",NA,"0","0","0"
"374","0","1",NA,"1","1","0"
"375","1","1",NA,"1","1","0"
"376","0","1",NA,"1","0","0"
"377","1","0",NA,"0","0","0"
"378","0","1",NA,"0","1","1"
"379","0","1",NA,"1","0","0"
"380","1","1",NA,"0","0","0"
"381","0","1",NA,"1","1","0"
"382","1","1",NA,"1","0","1"
"383","1","0",NA,"1","1","0"
"384","1","1",NA,"1","1","1"
"385","1","1",NA,"1","1","0"
"386","1","1",NA,"0","0","1"
"387","0","1",NA,"1","1","1"
"388","0","0",NA,"1","1","0"
"389","1","1",NA,"0","1","0"
"390","1","1",NA,"0","0","0"
"391","0","1",NA,"0","1","0"
"392","1","1",NA,"1","1","0"
"393","0","1",NA,"0","1","0"
"394","0","1",NA,"0","0","0"
"395","0","1",NA,"0","1","0"
"396","0","1",NA,"1","1","0"
"397","1","1",NA,"0","1","0"
"398","0","1",NA,"1","1","1"
"399","1","0",NA,"0","1","0"
"400","0","1",NA,"0","0","0"
"401","0","1",NA,"0","0","0"
"402","0","1",NA,"0","0","0"
"403","1","1",NA,"0","1","1"
"404","0","1",NA,"0","0","0"
"405","1","1",NA,"0","1","0"
"406","1","1",NA,"0","1","0"
"407","1","1",NA,"0","1","0"
"408","1","1",NA,"1","1","0"
"409","0","1",NA,"0","1","1"
"410","1","1",NA,"0","1","1"
"411","1","1",NA,"1","1","1"
"412","0","1",NA,"0","1","0"
"413","0","1",NA,"0","1","0"
"414","1","1",NA,"1","1","0"
"415","0","1",NA,"0","1","0"
"416","0","1",NA,"1","0","0"
"417","1","1",NA,"1","1","0"
"418","0","1",NA,"0","1","0"
"419","0","1",NA,"1","0","1"
"420","0","1",NA,"0","1","1"
"421","0","1",NA,"0","1","0"
"422","0","1",NA,"0","1","0"
"423","1","1",NA,"1","0","0"
"424","1","1",NA,"0","0","0"
"425","0","0",NA,"1","0","0"
"426","0","1",NA,"0","0","0"
"427","1","1",NA,"1","1","0"
"428","0","1",NA,"0","0","0"
"429","1","1",NA,"0","1","0"
"430","0","1",NA,"0","0","0"
"431","0","1",NA,"0","1","1"
"432","0","0",NA,"1","1","0"
"433","1","1",NA,"0","0","0"
"434","1","1",NA,"0","1","1"
"435","1","1",NA,"0","1","0"
"436","0","0",NA,"0","1","0"
"437","1","1",NA,"0","0","0"
"438","1","1",NA,"1","1","0"
"439","1","1",NA,"0","1","0"
"440","1","1",NA,"0","0","0"
"441","0","1",NA,"0","1","0"
"442","0","1",NA,"0","0","0"
"443","0","1",NA,"1","1","0"
"444","0","1",NA,"0","0","0"
"445","0","1",NA,"0","0","0"
"446","0","1",NA,"1","1","1"
"447","0","1",NA,"0","0","1"
"448","0","1",NA,"0","1","0"
"449","1","1",NA,"0","1","0"
"450","1","1",NA,"1","0","0"
"451","0","1",NA,"0","0","0"
"452","0","1",NA,"0","1","0"
"453","1","0",NA,"1","1","0"
"454","0","1",NA,"0","1","1"
"455","0","1",NA,"0","0","0"
"456","0","1",NA,"1","1","0"
"457","1","1",NA,"1","0","0"
"458","0","1",NA,"1","0","0"
"459","1","1",NA,"0","0","0"
"460","1","1",NA,"0","1","0"
"461","1","1",NA,"0","0","0"
"462","0","1",NA,"1","1","0"
"463","1","1",NA,"0","0","1"
"464","1","1",NA,"1","1","1"
"465","1","1",NA,"1","1","0"
"466","1","0",NA,"0","1","0"
"467","1","1",NA,"0","0","0"
"468","1","1",NA,"1","1","0"
"469","0","1",NA,"0","0","0"
"470","0","1",NA,"0","0","1"
"471","0","1",NA,"0","0","0"
"472","1","1",NA,"0","1","1"
"473","1","1",NA,"0","1","0"
"474","1","1",NA,"0","0","0"
"475","0","1",NA,"1","1","1"
"476","1","1",NA,"1","1","1"
"477","1","1",NA,"1","1","0"
"478","0","1",NA,"1","1","0"
"479","1","1",NA,"0","1","1"
"480","0","1",NA,"0","0","1"
"481","1","1",NA,"0","0","0"
"482","0","0",NA,"0","1","1"
"483","0","1",NA,"0","1","0"
"484","0","1",NA,"1","1","0"
"485","0","1",NA,"1","1","1"
"486","1","1",NA,"0","1","0"
"487","0","1",NA,"1","1","0"
"488","1","1",NA,"1","1","0"
"489","0","0",NA,"0","1","0"
"490","1","1",NA,"0","1","1"
"491","1","1",NA,"1","1","0"
"492","0","1",NA,"1","1","0"
"493","0","1",NA,"0","1","1"
"494","1","1",NA,"1","0","0"
"495","1","1",NA,"0","0","0"
"496","1","0",NA,"1","1","1"
"497","1","1",NA,"1","0","0"
"498","0","1",NA,"0","0","0"
"499","0","0",NA,"1","0","1"
"500","0","1",NA,"1","1","1"
"501","1","1",NA,"1","0","0"
"502","0","1",NA,"0","1","0"
"503","0","1",NA,"0","0","0"
"504","0","1",NA,"0","1","0"
"505","1","1",NA,"1","1","0"
"506","0","1",NA,"1","1","1"
"507","1","1",NA,"0","1","0"
"508","1","1",NA,"0","1","1"
"509","0","1",NA,"0","1","1"
"510","0","1",NA,"0","0","0"
"511","1","1",NA,"0","0","0"
"512","1","1",NA,"0","1","0"
"513","0","1",NA,"0","1","1"
"514","0","1",NA,"1","1","0"
"515","1","1",NA,"1","1","0"
"516","1","1",NA,"0","0","1"
"517","0","1",NA,"0","0","0"
"518","0","1",NA,"0","0","0"
"519","0","1",NA,"0","1","1"
"520","1","1",NA,"0","0","0"
"521","1","1",NA,"1","1","0"
"522","1","1",NA,"0","1","0"
"523","1","1",NA,"0","0","0"
"524","0","1",NA,"0","0","1"
"525","1","1",NA,"0","1","1"
"526","1","1",NA,"0","0","0"
"527","1","1",NA,"1","1","0"
"528","1","1",NA,"1","1","0"
"529","1","1",NA,"0","0","0"
"530","0","1",NA,"1","1","0"
"531","0","1",NA,"0","1","0"
"532","1","1",NA,"0","0","0"
"533","1","1",NA,"0","1","0"
"534","1","1",NA,"0","1","0"
"535","0","1",NA,"0","1","1"
"536","1","1",NA,"0","1","0"
"537","0","1",NA,"1","1","0"
"538","0","1",NA,"1","1","0"
"539","0","1",NA,"1","1","0"
"540","0","1",NA,"1","1","0"
"541","0","1",NA,"1","1","0"
"542","0","1",NA,"0","1","0"
"543","0","1",NA,"0","0","0"
"544","1","1",NA,"0","1","1"
"545","1","0",NA,"0","1","1"
"546","1","1",NA,"0","1","0"
"547","1","1",NA,"1","1","1"
"548","0","1",NA,"1","1","0"
"549","1","1",NA,"1","1","0"
"550","1","1",NA,"0","0","0"
"551","1","1",NA,"1","1","0"
"552","0","1",NA,"1","1","0"
"553","1","1",NA,"0","0","0"
"554","0","1",NA,"0","1","0"
"555","1","1",NA,"1","1","1"
"556","0","1",NA,"0","1","0"
"557","0","1",NA,"0","0","0"
"558","1","1",NA,"1","0","0"
"559","1","1",NA,"0","0","0"
"560","1","1",NA,"0","1","0"
"561","1","1",NA,"1","1","0"
"562","1","1",NA,"0","1","0"
"563","1","1",NA,"0","0","0"
"564","1","1",NA,"0","1","0"
"565","1","1",NA,"0","0","0"
"566","1","1",NA,"0","1","0"
"567","1","1",NA,"0","0","0"
"568","1","1",NA,"1","0","0"
"569","0","1",NA,"0","1","1"
"570","0","0",NA,"1","1","0"
"571","0","1",NA,"0","1","0"
"572","1","1",NA,"1","0","0"
"573","0","1",NA,"0","0","0"
"574","1","1",NA,"1","0","1"
"575","0","1",NA,"1","1","0"
"576","1","1",NA,"1","1","0"
"577","1","1",NA,"0","0","0"
"578","1","1",NA,"0","1","0"
"579","1","1",NA,"1","1","0"
"580","1","1",NA,"0","1","0"
"581","0","1",NA,"0","0","1"
"582","0","1",NA,"0","0","1"
"583","0","1",NA,"0","1","1"
"584","0","1",NA,"0","1","0"
"585","0","1",NA,"0","1","0"
"586","0","1",NA,"0","1","1"
"587","1","1",NA,"1","1","0"
"588","1","1",NA,"0","0","0"
"589","1","1",NA,"1","1","0"
"590","1","1",NA,"1","0","0"
"591","1","1",NA,"0","1","0"
"592","1","1",NA,"0","0","0"
"593","1","1",NA,"1","0","0"
"594","1","1",NA,"1","1","0"
"595","1","1",NA,"0","0","0"
"596","0","1",NA,"0","1","1"
"597","1","0",NA,"1","0","0"
"598","1","1",NA,"0","0","0"
"599","1","1",NA,"1","1","0"
"600","1","1",NA,"0","1","0"
"601","1","1",NA,"0","1","0"
"602","1","1",NA,"0","0","0"
"603","0","1",NA,"0","1","0"
"604","1","1",NA,"1","0","0"
"605","0","1",NA,"0","1","0"
"606","1","1",NA,"0","0","0"
"607","1","1",NA,"0","0","0"
"608","1","1",NA,"0","0","0"
"609","1","1",NA,"1","0","0"
"610","0","1",NA,"0","0","1"
"611","1","0",NA,"1","1","1"
"612","0","1",NA,"1","0","1"
"613","1","1",NA,"0","0","0"
"614","0","1",NA,"1","1","0"
"615","1","1",NA,"0","0","0"
"616","0","1",NA,"0","0","0"
"617","1","0",NA,"0","1","0"
"618","0","1",NA,"0","1","0"
"619","0","1",NA,"1","1","0"
"620","0","1",NA,"1","1","0"
"621","1","0",NA,"0","1","0"
"622","0","1",NA,"1","1","0"
"623","1","1",NA,"0","1","0"
"624","0","1",NA,"0","0","0"
"625","0","1",NA,"0","0","1"
"626","0","1",NA,"0","1","0"
"627","1","1",NA,"1","0","0"
"628","0","1",NA,"1","0","0"
"629","0","1",NA,"1","0","0"
"630","1","1",NA,"1","0","1"
"631","1","1",NA,"1","1","1"
"632","0","1",NA,"0","0","0"
"633","1","1",NA,"1","0","0"
"634","1","1",NA,"0","0","0"
"635","0","0",NA,"0","1","0"
"636","0","1",NA,"1","1","1"
"637","1","1",NA,"0","0","0"
"638","0","1",NA,"1","0","0"
"639","1","1",NA,"0","1","1"
"640","1","1",NA,"0","1","1"
"641","1","1",NA,"0","0","0"
"642","0","1",NA,"0","0","1"
"643","1","1",NA,"0","1","1"
"644","0","1",NA,"1","1","0"
"645","0","1",NA,"0","1","0"
"646","1","1",NA,"0","1","1"
"647","1","1",NA,"0","1","1"
"648","1","1",NA,"0","1","0"
"649","0","1",NA,"1","0","1"
"650","1","1",NA,"0","0","0"
"651","0","1",NA,"0","1","1"
"652","0","1",NA,"0","1","1"
"653","1","1",NA,"0","0","0"
"654","0","1",NA,"0","0","0"
"655","0","1",NA,"0","0","1"
"656","1","1",NA,"0","1","0"
"657","1","1",NA,"1","1","0"
"658","1","1",NA,"1","0","0"
"659","1","1",NA,"0","0","1"
"660","1","1",NA,"0","0","0"
"661","0","0",NA,"0","1","1"
"662","0","1",NA,"0","0","0"
"663","1","1",NA,"0","0","0"
"664","1","1",NA,"1","1","0"
"665","0","1",NA,"0","0","0"
"666","0","1",NA,"0","1","0"
"667","0","1",NA,"0","0","1"
"668","1","0",NA,"0","1","0"
"669","0","1",NA,"0","0","1"
"670","0","0",NA,"1","0","0"
"671","0","1",NA,"0","1","0"
"672","1","1",NA,"0","0","0"
"673","0","1",NA,"0","1","1"
"674","1","1",NA,"0","1","0"
"675","1","0",NA,"1","1","1"
"676","1","1",NA,"0","1","0"
"677","0","1",NA,"0","0","0"
"678","0","0",NA,"0","1","1"
"679","1","1",NA,"1","0","0"
"680","1","1",NA,"1","0","0"
"681","1","1",NA,"0","0","1"
"682","0","1",NA,"0","1","0"
"683","1","1",NA,"0","1","0"
"684","0","1",NA,"0","1","0"
"685","0","1",NA,"0","0","0"
"686","0","1",NA,"0","1","0"
"687","1","1",NA,"0","1","0"
"688","1","1",NA,"0","1","1"
"689","1","0",NA,"1","0","0"
"690","1","1",NA,"0","0","0"
"691","1","1",NA,"0","1","0"
"692","1","1",NA,"1","1","0"
"693","1","1",NA,"0","0","0"
"694","0","1",NA,"0","1","1"
"695","0","1",NA,"0","1","0"
"696","0","1",NA,"0","1","0"
"697","1","1",NA,"1","1","0"
"698","1","1",NA,"0","1","1"
"699","1","1",NA,"1","1","0"
"700","1","1",NA,"0","1","0"
"701","1","1",NA,"0","1","0"
"702","1","1",NA,"0","0","0"
"703","1","1",NA,"0","1","0"
"704","0","1",NA,"0","1","0"
"705","1","1",NA,"1","0","0"
"706","0","1",NA,"1","1","1"
"707","0","1",NA,"1","1","0"
"708","1","1",NA,"1","1","0"
"709","1","1",NA,"0","1","0"
"710","1","1",NA,"1","0","0"
"711","1","1",NA,"0","0","1"
"712","0","1",NA,"0","1","0"
"713","0","1",NA,"0","1","0"
"714","0","1",NA,"0","1","0"
"715","1","1",NA,"0","0","0"
"716","1","1",NA,"0","1","0"
"717","0","0",NA,"1","0","0"
"718","1","1",NA,"0","1","0"
"719","0","0",NA,"0","1","0"
"720","1","1",NA,"0","1","0"
"721","1","1",NA,"0","0","0"
"722","1","1",NA,"0","0","0"
"723","0","1",NA,"0","1","1"
"724","1","1",NA,"0","1","1"
"725","1","1",NA,"0","1","1"
"726","1","1",NA,"0","1","0"
"727","0","1",NA,"0","0","0"
"728","0","1",NA,"0","1","0"
"729","0","1",NA,"1","0","1"
"730","1","1",NA,"1","1","0"
"731","0","1",NA,"0","1","1"
"732","1","1",NA,"0","0","0"
"733","1","1",NA,"1","1","0"
"734","0","1",NA,"0","0","0"
"735","0","1",NA,"0","0","0"
"736","1","0",NA,"0","0","0"
"737","0","1",NA,"1","0","0"
"738","1","1",NA,"1","0","0"
"739","1","1",NA,"1","1","0"
"740","0","1",NA,"1","1","0"
"741","0","1",NA,"0","1","0"
"742","0","1",NA,"0","1","0"
"743","1","1",NA,"0","0","1"
"744","0","1",NA,"0","1","0"
"745","0","1",NA,"0","1","0"
"746","0","1",NA,"1","1","0"
"747","1","1",NA,"1","1","0"
"748","0","1",NA,"0","0","0"
"749","1","1",NA,"0","0","0"
"750","0","1",NA,"0","1","0"
"751","0","1",NA,"1","1","0"
"752","1","1",NA,"1","1","0"
"753","1","1",NA,"0","1","0"
"754","1","1",NA,"0","0","0"
"755","0","1",NA,"1","0","0"
"756","1","1",NA,"0","1","1"
"757","1","1",NA,"0","0","0"
"758","0","1",NA,"0","0","0"
"759","0","1",NA,"1","1","1"
"760","0","1",NA,"1","1","0"
"761","1","1",NA,"0","0","0"
"762","0","1",NA,"0","0","1"
"763","1","1",NA,"0","1","1"
"764","0","1",NA,"0","0","0"
"765","1","1",NA,"0","0","0"
"766","0","0",NA,"0","1","0"
"767","1","1",NA,"1","1","0"
"768","1","1",NA,"0","0","0"
"769","1","1",NA,"0","1","0"
"770","1","1",NA,"1","0","0"
"771","1","1",NA,"0","1","0"
"772","1","1",NA,"0","1","1"
"773","0","1",NA,"0","0","1"
